<DATE>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>
08/14/2023,PNJ,80000,80000,79100,79400,519100
08/15/2023,PNJ,79300,79400,78300,79000,713400
08/16/2023,PNJ,79000,80200,78600,80200,586800
08/17/2023,PNJ,80200,80500,78000,80200,726900
08/18/2023,PNJ,79300,80000,76000,78500,1087700
08/21/2023,PNJ,79500,79500,77000,79000,550300
08/22/2023,PNJ,79000,79000,77100,78500,545500
08/23/2023,PNJ,78100,78500,77100,77500,329100
08/24/2023,PNJ,77300,78200,77300,78000,258400
08/25/2023,PNJ,77800,78600,77300,78300,593000
08/28/2023,PNJ,78900,79500,78300,79500,456600
08/29/2023,PNJ,80000,80900,79500,80400,768000
08/30/2023,PNJ,80500,80800,79900,80700,506000
08/31/2023,PNJ,80500,81300,80500,80500,728000
09/05/2023,PNJ,81100,81200,80200,80500,346000
09/06/2023,PNJ,81000,81100,80400,81100,721800
09/07/2023,PNJ,82100,85300,81500,84200,1808500
09/08/2023,PNJ,83600,84600,83300,84000,695300
09/11/2023,PNJ,84500,84500,81500,83600,816700
09/12/2023,PNJ,83000,83600,82100,83600,510000
09/13/2023,PNJ,84000,84400,82900,83300,782500
09/14/2023,PNJ,83300,83300,81200,81200,483400
09/15/2023,PNJ,81300,82000,80700,81400,664600
09/18/2023,PNJ,80900,82100,80500,81500,416600
09/19/2023,PNJ,81500,81700,80300,81200,581800
09/20/2023,PNJ,81400,82800,80800,82700,593500
09/21/2023,PNJ,82700,82800,81100,82600,552700
09/22/2023,PNJ,81100,81900,79900,81000,1001300
09/25/2023,PNJ,81500,81500,79500,79800,574700
09/26/2023,PNJ,79300,80000,78500,78500,570400
09/27/2023,PNJ,78500,79700,78000,79100,413500
09/28/2023,PNJ,79000,79000,78300,78500,332700
09/29/2023,PNJ,78500,79400,78500,78800,136600
10/02/2023,PNJ,78800,80500,78500,78900,270900
10/03/2023,PNJ,79400,79400,77500,77500,442200
10/04/2023,PNJ,77400,78000,77100,77600,332800
10/05/2023,PNJ,78200,78400,77700,77800,155700
10/06/2023,PNJ,78200,78200,77500,78000,195300
10/09/2023,PNJ,79000,80400,78100,80000,560600
10/10/2023,PNJ,81000,81400,79300,79500,473700
10/11/2023,PNJ,80100,80300,79800,80300,300500
