<DATE>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>
08/17/2023,VCB,89200,89800,88600,89400,2145100
08/18/2023,VCB,89800,90300,89000,89500,2430400
08/21/2023,VCB,89700,90200,89200,89800,1710900
08/22/2023,VCB,89500,89700,87800,88400,1825000
08/23/2023,VCB,88900,88900,86100,86300,1754800
08/24/2023,VCB,86300,88200,86000,87000,902800
08/25/2023,VCB,86200,87000,86000,86200,1404600
08/28/2023,VCB,86400,87500,86200,87000,1378300
08/29/2023,VCB,87000,88500,86900,88400,1391900
08/30/2023,VCB,88500,89500,88500,89100,1350000
08/31/2023,VCB,89100,89600,88300,89100,1531200
09/05/2023,VCB,89100,90700,89100,90100,1942200
09/06/2023,VCB,90200,90200,89700,90200,2017600
09/07/2023,VCB,90000,90800,89500,89500,1765300
09/08/2023,VCB,89500,89500,89100,89500,1341900
09/11/2023,VCB,89600,90000,88000,88500,1649500
09/12/2023,VCB,89000,90000,88900,89900,1572100
09/13/2023,VCB,90000,90000,88900,89100,1582000
09/14/2023,VCB,89000,89500,88100,89100,1512600
09/15/2023,VCB,88900,89800,88600,89800,2142400
09/18/2023,VCB,89500,89700,88300,88800,718100
09/19/2023,VCB,88800,89200,86000,88100,1117200
09/20/2023,VCB,88100,88400,86400,88000,786000
09/21/2023,VCB,88000,88000,86800,87000,1066900
09/22/2023,VCB,86400,89500,86000,89300,2408600
09/25/2023,VCB,89000,89500,88300,89300,2210400
09/26/2023,VCB,89200,89400,86900,87000,1663200
09/27/2023,VCB,87600,89000,87000,87800,1204900
09/28/2023,VCB,87200,88300,86600,88000,1065100
09/29/2023,VCB,88300,88300,87100,87500,449300
10/02/2023,VCB,87100,87200,86500,86500,765700
10/03/2023,VCB,86500,86700,85800,86300,882600
10/04/2023,VCB,86300,86300,85300,86300,923800
10/05/2023,VCB,86000,86000,84500,84500,890000
10/06/2023,VCB,84500,85400,83500,85400,800900
10/09/2023,VCB,85400,85400,84000,84600,1096100
10/10/2023,VCB,84600,86200,84600,86100,734100
10/11/2023,VCB,86200,86500,85700,86500,719400
10/12/2023,VCB,86900,86900,85500,86000,714100
