<DATE>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>
04/23/2024,CMG,42400,45000,39400,42800,2046300
04/24/2024,CMG,43600,45300,43600,45300,743900
04/25/2024,CMG,45300,47000,44600,44600,1275900
04/26/2024,CMG,44300,45100,43950,44650,502900
05/02/2024,CMG,45400,46600,44400,46150,1139600
05/03/2024,CMG,46200,46600,45100,45100,954300
05/06/2024,CMG,45400,47000,44500,46850,1300400
05/07/2024,CMG,47500,49450,47000,48450,951000
05/08/2024,CMG,48450,51800,47550,51800,1000000
05/09/2024,CMG,55400,55400,54200,55400,1353800
05/10/2024,CMG,59000,59200,57100,58900,3000800
05/13/2024,CMG,60000,60000,56800,58400,1459100
05/14/2024,CMG,58400,62400,58400,62400,1472300
05/15/2024,CMG,64900,65900,63000,63000,1956900
05/16/2024,CMG,63400,63700,60400,60600,3482500
05/17/2024,CMG,61000,62000,60400,61300,2849800
05/20/2024,CMG,62000,62000,58600,59000,3963300
05/21/2024,CMG,59900,62800,58700,61500,1959900
05/22/2024,CMG,62100,63500,60200,61200,1584400
05/23/2024,CMG,61200,64400,61100,63600,3065000
