<DATE>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>
08/25/2023,MSN,80000,80500,79200,79700,1178100
08/28/2023,MSN,79700,80800,79500,80700,1100800
08/29/2023,MSN,81200,81400,79800,80000,1728500
08/30/2023,MSN,80000,80100,79300,79600,1580000
08/31/2023,MSN,80000,81700,79500,81500,2545900
09/05/2023,MSN,82300,82400,81300,81500,1426200
09/06/2023,MSN,81500,82700,80800,82700,1831100
09/07/2023,MSN,83500,83900,82000,82000,2102600
09/08/2023,MSN,82100,83500,81800,81800,3064800
09/11/2023,MSN,82100,82400,79600,79600,3008800
09/12/2023,MSN,80000,81000,79300,81000,1513100
09/13/2023,MSN,81000,81400,79900,80100,1618400
09/14/2023,MSN,80400,80400,78300,78600,1810500
09/15/2023,MSN,78800,80700,78400,79700,2314600
09/18/2023,MSN,79700,79700,78100,78500,1009600
09/19/2023,MSN,78300,79400,78000,79000,1116700
09/20/2023,MSN,78800,79800,78700,79700,2339000
09/21/2023,MSN,79500,80100,78500,78800,1493900
09/22/2023,MSN,77400,78000,75400,75400,2281400
09/25/2023,MSN,75000,75400,70300,70300,3403100
09/26/2023,MSN,70300,74900,70300,73000,2269800
09/27/2023,MSN,73000,76000,72600,76000,2155500
09/28/2023,MSN,74500,77000,73100,76500,1700600
09/29/2023,MSN,76500,76500,75200,76300,1276500
10/02/2023,MSN,76200,78700,76000,77400,2722000
10/03/2023,MSN,77400,77400,74000,74000,2189000
10/04/2023,MSN,73000,75000,72800,73500,1448600
10/05/2023,MSN,73600,74800,72800,72800,877900
10/06/2023,MSN,72700,72900,71000,72700,2313000
10/09/2023,MSN,72200,74000,72100,73500,854300
10/10/2023,MSN,74000,74300,73200,73200,926500
10/11/2023,MSN,73500,73800,72200,73800,909700
10/12/2023,MSN,74000,74100,73000,73100,1055400
10/13/2023,MSN,72500,73500,71600,72700,1242300
10/16/2023,MSN,72500,72500,71600,71600,1004000
10/17/2023,MSN,72000,72300,71000,71000,727500
10/18/2023,MSN,71000,71500,67500,68300,1882700
10/19/2023,MSN,68300,68400,65900,66400,2406000
10/20/2023,MSN,66400,69000,65900,69000,1883100
10/23/2023,MSN,68000,68100,65800,66000,2129600
10/24/2023,MSN,66200,67300,64900,66900,1638700
10/25/2023,MSN,67000,67500,66000,66000,1385400
10/26/2023,MSN,64800,64800,61400,61400,3585400
10/27/2023,MSN,62000,62000,57200,57800,4376500
10/30/2023,MSN,56000,59200,56000,58000,2162100
10/31/2023,MSN,59000,59000,56000,58200,2913300
11/01/2023,MSN,58200,59500,57000,59500,1807900
11/02/2023,MSN,60500,62800,59800,62700,1571400
11/03/2023,MSN,63000,63900,61700,63900,1619400
11/06/2023,MSN,64000,64600,63000,64000,1132500
11/07/2023,MSN,64000,64000,62000,62000,1583400
11/08/2023,MSN,62000,63900,60500,63800,2102400
11/09/2023,MSN,63900,64500,62700,62800,1616400
11/10/2023,MSN,62000,63400,61700,61700,1581800
11/13/2023,MSN,62000,62900,61000,62000,1203300
11/14/2023,MSN,62200,62800,61600,62600,1533100
11/15/2023,MSN,63600,66900,63500,65800,3867100
11/16/2023,MSN,66800,66900,65400,66000,1450600
11/17/2023,MSN,66700,67000,63400,64100,2889900
11/20/2023,MSN,62700,65000,62700,63600,1336400
11/21/2023,MSN,64900,64900,63600,64600,1393000
11/22/2023,MSN,64700,65500,63600,64900,1764000
11/23/2023,MSN,65500,65500,63300,63300,1594500
11/24/2023,MSN,63400,63500,60600,61800,2092400
11/27/2023,MSN,62000,62300,60900,60900,1253800
11/28/2023,MSN,60900,61800,59900,61300,1182700
11/29/2023,MSN,61500,63000,61500,62900,1595200
11/30/2023,MSN,62200,62900,60500,60500,2262200
12/01/2023,MSN,61000,61800,60800,61500,1080400
12/04/2023,MSN,61500,63000,61500,62200,1303600
12/05/2023,MSN,62300,62400,61400,61400,1426500
12/06/2023,MSN,61400,62300,61400,62100,1534400
12/07/2023,MSN,62200,64200,62100,63500,3977500
12/08/2023,MSN,63500,66900,63500,66200,5420600
12/11/2023,MSN,66800,68000,66700,67500,2893500
12/12/2023,MSN,67700,67700,65700,66200,3134200
12/13/2023,MSN,66500,67400,65700,65800,2727000
12/14/2023,MSN,66300,66500,64800,65000,1750100
12/15/2023,MSN,65000,65000,63000,63000,4208100
12/18/2023,MSN,63200,63800,62600,62900,1640800
12/19/2023,MSN,62900,63500,61800,62200,2055200
12/20/2023,MSN,62800,64000,62500,63900,1625900
12/21/2023,MSN,63000,64400,63000,63700,1375900
12/22/2023,MSN,64000,64200,63000,63000,2188600
12/25/2023,MSN,63200,66500,63200,66400,3234900
12/26/2023,MSN,66900,66900,65600,66200,2681200
12/27/2023,MSN,66200,67900,66000,67000,2866200
12/28/2023,MSN,67100,67600,66600,67000,1859800
