<DATE>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>
09/26/2023,FPT,94200,95500,93100,93500,2154100
09/27/2023,FPT,93900,94300,90400,94300,4510400
09/28/2023,FPT,94100,94300,91400,94000,1764400
09/29/2023,FPT,94000,94900,92800,92800,1635300
10/02/2023,FPT,93400,93800,92000,93200,1137500
10/03/2023,FPT,92200,93500,91500,92200,2006900
10/04/2023,FPT,91300,93400,91300,92500,1591700
10/05/2023,FPT,92800,93300,91600,91600,1369100
10/06/2023,FPT,91500,92800,91000,92700,1147700
10/09/2023,FPT,92400,95600,92200,95600,3657000
10/10/2023,FPT,96500,97200,95400,96300,3255500
10/11/2023,FPT,95900,98000,95900,97000,2358200
10/12/2023,FPT,97000,97800,96000,96400,1881200
10/13/2023,FPT,96000,96300,95300,96100,2362100
10/16/2023,FPT,96800,98900,96300,96800,4974600
10/17/2023,FPT,97800,97800,93100,93100,2420100
10/18/2023,FPT,94900,94900,91000,93000,6142800
10/19/2023,FPT,94000,94300,92000,92000,3029400
10/20/2023,FPT,92500,93000,90100,92900,2863200
10/23/2023,FPT,93800,93800,90800,91000,1971700
10/24/2023,FPT,92400,92400,90800,92000,1612400
10/25/2023,FPT,91800,92700,90900,90900,1836500
10/26/2023,FPT,88300,89900,86000,86800,5909500
10/27/2023,FPT,87500,88000,86300,87000,2034800
10/30/2023,FPT,87000,87100,85000,85000,1869500
10/31/2023,FPT,85100,85300,83000,83000,3087200
11/01/2023,FPT,84300,85400,82600,85400,2175200
11/02/2023,FPT,86400,89000,85900,89000,2204000
11/03/2023,FPT,89000,89200,87000,87000,4842300
11/06/2023,FPT,88200,88900,87800,88500,1210100
11/07/2023,FPT,88500,88800,87900,88300,1340200
11/08/2023,FPT,88200,92600,88000,92600,2943200
11/09/2023,FPT,92000,93300,91800,92500,2110200
11/10/2023,FPT,91500,92700,91300,91500,2406500
11/13/2023,FPT,91600,92000,90500,91400,1532100
11/14/2023,FPT,92000,93400,91300,92600,1997800
11/15/2023,FPT,93700,93800,92000,92400,2417600
11/16/2023,FPT,92200,93000,91600,93000,1906300
11/17/2023,FPT,93400,93500,90600,91000,3567900
11/20/2023,FPT,90100,92600,89100,90700,1656500
