<DATE>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>
09/13/2023,MBB,19300,19350,18900,19050,13465900
09/14/2023,MBB,19100,19350,19000,19150,14933100
09/15/2023,MBB,19200,19700,19100,19400,26331800
09/18/2023,MBB,19400,19400,19000,19150,11785300
09/19/2023,MBB,19150,19200,18900,19000,11543100
09/20/2023,MBB,19050,19200,18950,19200,8913100
09/21/2023,MBB,19200,19350,18850,18950,12591900
09/22/2023,MBB,18750,18800,18300,18700,18963000
09/25/2023,MBB,18700,18750,18100,18100,13427000
09/26/2023,MBB,18150,18450,18100,18250,11092100
09/27/2023,MBB,18150,18500,18150,18500,8671600
09/28/2023,MBB,18350,18550,18200,18500,6705800
09/29/2023,MBB,18500,18650,18500,18500,4152200
10/02/2023,MBB,18550,18700,18400,18600,4522900
10/03/2023,MBB,18400,18500,18000,18050,11258300
10/04/2023,MBB,18050,18250,17950,18150,7412300
10/05/2023,MBB,18200,18300,18000,18050,7416600
10/06/2023,MBB,18050,18200,17950,18150,4861600
10/09/2023,MBB,18150,18300,18000,18300,11157200
10/10/2023,MBB,18400,18550,18350,18450,7369700
10/11/2023,MBB,18400,18500,18300,18500,4804600
10/12/2023,MBB,18500,18550,18350,18350,5444000
10/13/2023,MBB,18300,18500,18250,18450,5817700
10/16/2023,MBB,18450,18450,18200,18200,5461500
10/17/2023,MBB,18300,18450,18100,18100,5442800
10/18/2023,MBB,18100,18200,17600,17750,10950900
10/19/2023,MBB,17750,17900,17600,17650,5647000
10/20/2023,MBB,17650,18000,17500,17950,5181500
10/23/2023,MBB,17950,18000,17700,17800,3717700
10/24/2023,MBB,17800,18000,17750,17900,4385200
10/25/2023,MBB,17950,18050,17800,17800,4493500
10/26/2023,MBB,17650,17650,17050,17200,12351800
10/27/2023,MBB,17250,17500,17150,17450,9068900
10/30/2023,MBB,17250,17450,17000,17000,3338400
10/31/2023,MBB,17200,17300,16950,17100,6590100
11/01/2023,MBB,17200,17300,17100,17200,5320800
11/02/2023,MBB,17350,17750,17300,17700,6927200
11/03/2023,MBB,17800,17850,17400,17400,11866000
11/06/2023,MBB,17600,18000,17550,17950,8669400
11/07/2023,MBB,17950,18000,17700,17800,4536900
11/08/2023,MBB,17800,18400,17700,18350,10717500
11/09/2023,MBB,18400,18500,18250,18350,9726700
11/10/2023,MBB,18200,18400,17950,18000,12805000
11/13/2023,MBB,18000,18150,17850,18100,6653200
11/14/2023,MBB,18150,18650,18150,18450,13834400
11/15/2023,MBB,18700,18750,18450,18550,13588700
11/16/2023,MBB,18450,18550,18350,18500,5071800
11/17/2023,MBB,18600,18600,17900,18200,13289500
11/20/2023,MBB,17750,18250,17750,18000,8981200
11/21/2023,MBB,18200,18250,17950,18100,5856100
11/22/2023,MBB,18150,18150,17950,18050,7610300
11/23/2023,MBB,18100,18150,17900,17900,7027300
11/24/2023,MBB,17900,18000,17600,17850,8018700
11/27/2023,MBB,17850,17950,17550,17600,7109700
11/28/2023,MBB,17600,17900,17450,17850,6648000
11/29/2023,MBB,17800,17900,17700,17850,5445800
11/30/2023,MBB,17850,17950,17750,17800,5666600
12/01/2023,MBB,17850,17850,17700,17800,4410300
12/04/2023,MBB,17800,18100,17800,18050,17334900
12/05/2023,MBB,18050,18100,17950,18050,6116600
12/06/2023,MBB,18050,18150,18000,18100,7014600
12/07/2023,MBB,18150,18350,18050,18250,13916000
12/08/2023,MBB,18250,18350,18150,18200,7469400
12/11/2023,MBB,18200,18250,18050,18150,4875100
12/12/2023,MBB,18150,18250,18100,18250,4876200
12/13/2023,MBB,18250,18350,18050,18050,7175500
12/14/2023,MBB,18150,18200,18000,18050,5301300
12/15/2023,MBB,18050,18200,18000,18050,5540900
12/18/2023,MBB,18050,18150,17950,18000,5275400
12/19/2023,MBB,18000,18200,17950,18150,5896500
12/20/2023,MBB,18150,18200,18050,18150,3086000
12/21/2023,MBB,18100,18150,18000,18150,3981300
12/22/2023,MBB,18150,18450,18100,18300,8546800
12/25/2023,MBB,18350,18550,18300,18400,6586700
12/26/2023,MBB,18400,18500,18300,18450,4260100
12/27/2023,MBB,18500,18500,18350,18400,5784500
12/28/2023,MBB,18400,18600,18350,18550,9880100
12/29/2023,MBB,18600,18850,18550,18650,13814600
01/02/2024,MBB,18700,19000,18650,18850,13785400
01/03/2024,MBB,18750,19200,18700,19150,13854700
01/04/2024,MBB,19150,20450,19150,20100,49414900
01/05/2024,MBB,20100,20500,20100,20500,22517200
01/08/2024,MBB,20600,20850,20400,20700,20147300
01/09/2024,MBB,20750,20900,20500,20850,19794000
01/10/2024,MBB,20850,21150,20650,20900,24684700
01/11/2024,MBB,20900,21100,20500,20650,24683900
01/12/2024,MBB,20500,21550,20400,21350,45903400
01/15/2024,MBB,21500,21900,21400,21450,25082400
01/16/2024,MBB,21450,21500,21150,21500,17491400
01/17/2024,MBB,21600,21800,21300,21500,20484100
01/18/2024,MBB,21400,21750,21300,21700,23623500
01/19/2024,MBB,21800,22150,21700,22050,21610300
01/22/2024,MBB,22300,22550,22000,22100,29129500
01/23/2024,MBB,22100,22350,21900,21950,15904700
01/24/2024,MBB,21850,22150,21800,21900,12689700
01/25/2024,MBB,21950,21950,21700,21900,14697100
01/26/2024,MBB,21900,22150,21900,22000,9493000
01/29/2024,MBB,22000,22450,22000,22150,15667000
01/30/2024,MBB,22150,22250,21850,22100,14352700
01/31/2024,MBB,22250,22250,21650,21750,27845100
02/01/2024,MBB,21700,21950,21600,21900,11396700
02/02/2024,MBB,21900,22000,21750,21750,15083600
02/05/2024,MBB,21750,23150,21750,22950,37093300
02/06/2024,MBB,23000,23150,22950,23050,11519300
02/07/2024,MBB,23100,23700,23100,23500,21181800
02/15/2024,MBB,23700,24200,23550,24150,24091300
02/16/2024,MBB,24100,24100,23700,24000,16165200
02/19/2024,MBB,24000,24100,23600,23950,20952600
02/20/2024,MBB,23850,24100,23650,23850,20313600
02/21/2024,MBB,23850,24200,23700,24000,24984200
02/22/2024,MBB,24000,24100,23850,23950,14943900
02/23/2024,MBB,24000,24700,23750,23900,49051800
